Id,Predicted
313,14.7897
314,35.265854
315,10.063845
316,30.249052
317,17.817907
318,13.403688
319,39.206398
320,13.316912
321,22.671288
322,10.824206
323,30.447191
324,40.675827
325,32.177753
326,55.88455
327,26.506256
328,26.18545
329,16.977118
330,12.239127
331,59.41118
332,31.89535
333,65.00938
334,14.360036
335,17.73182
336,66.80891
337,37.117943
338,33.636265
339,16.239988
340,29.479141
341,58.59517
342,21.789324
343,32.029297
344,71.269196
345,38.999203
346,53.43391
347,50.734463
348,50.20148
349,14.8586445
350,38.93888
351,34.536297
352,26.621553
353,19.605522
354,31.76888
355,40.07687
356,30.938147
357,41.602016
358,40.618107
359,42.682243
360,28.775759
361,50.444553
362,15.547784
363,45.76431
364,28.660023
365,32.274883
366,38.536663
367,76.53959
368,17.185555
369,64.974236
370,51.597187
371,25.08363
372,51.97376
373,27.776976
374,78.63507
375,47.1172
376,54.20424
377,15.681734
378,58.00831
379,14.599191
380,50.719307
381,52.160698
382,51.992626
383,44.349277
384,13.438834
385,13.00619
386,33.41246
387,31.105486
388,42.830097
389,30.635303
390,22.895042
391,6.4532604
392,47.482502
393,13.139705
394,34.401596
395,49.770966
396,16.72985
397,43.82618
398,8.447985
399,43.30863
400,79.11171
401,20.445753
402,22.206022
403,50.66657
404,34.1918
405,12.178707
406,57.28869
407,10.363284
408,24.274979
409,19.177685
410,14.923287
411,39.740715
