Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day)
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,100
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7
424.0,22.0,132.0,178.0,8.48,822.0,750.0,28
387.0,20.0,94.0,157.0,11.61,938.0,845.0,3
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7
238.05,0.0,94.11,186.66,7.0,949.91,847.01,56
397.0,17.2,158.0,167.0,20.8,967.0,633.0,28
150.9,0.0,183.9,166.6,11.6,991.2,772.2,28
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,7
166.8,250.2,0.0,203.5,0.0,975.6,692.6,90
141.3,212.0,0.0,203.5,0.0,971.8,748.5,7
401.8,94.7,0.0,147.4,11.4,946.8,852.1,7
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270
236.0,0.0,0.0,194.0,0.0,968.0,885.0,28
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,100
173.0,116.0,0.0,192.0,0.0,946.8,856.8,3
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,3
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,3
313.0,145.0,0.0,127.0,8.0,1000.0,822.0,28
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,120
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,100
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3
151.0,0.0,184.0,167.0,12.0,991.0,772.0,28
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,28
160.0,250.0,0.0,168.0,12.0,1049.0,688.0,28
153.0,102.0,0.0,192.0,0.0,888.0,943.1,7
424.0,22.0,132.0,168.0,8.92,822.0,750.0,56
250.2,166.8,0.0,203.5,0.0,977.6,694.1,7
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,28
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,3
233.81,0.0,94.58,197.89,4.567,947.04,852.16,100
446.0,24.0,79.0,162.0,11.61,967.0,712.0,3
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,100
310.0,143.0,111.0,168.0,22.0,914.0,651.0,28
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,100
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90
313.8,0.0,112.6,169.9,10.1,925.3,782.9,28
167.0,187.0,195.0,185.0,7.0,898.0,636.0,28
158.0,0.0,195.0,220.0,11.0,898.0,713.0,28
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,3
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,180
387.0,20.0,94.0,157.0,11.61,938.0,845.0,28
212.0,141.3,0.0,203.5,0.0,973.4,750.0,3
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,28
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,28
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,28
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,28
277.0,0.0,0.0,191.0,0.0,968.0,856.0,28
400.0,0.0,0.0,187.0,0.0,1025.0,745.0,7
284.0,15.0,141.0,179.0,5.46,842.0,801.0,56
446.0,24.0,79.0,162.0,11.64,967.0,712.0,3
446.0,24.0,79.0,162.0,11.64,967.0,712.0,56
183.9,122.6,0.0,203.5,0.0,959.2,800.0,90
491.0,26.0,123.0,210.0,3.93,882.0,699.0,7
202.0,11.0,141.0,206.0,1.72,942.0,801.0,56
522.0,0.0,0.0,146.0,0.0,896.0,896.0,28
480.0,0.0,0.0,192.0,0.0,936.2,712.2,28
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,28
145.7,172.6,0.0,181.9,3.4,985.8,816.8,28
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28
314.0,145.0,113.0,179.0,8.0,869.0,690.0,28
315.0,137.0,0.0,145.0,5.9,1130.0,745.0,28
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270
290.35,0.0,96.18,168.08,9.41,961.18,865.0,28
366.0,187.0,0.0,191.0,7.0,824.0,757.0,28
284.0,15.0,141.0,179.0,5.46,842.0,801.0,28
355.0,19.0,97.0,145.0,13.13,967.0,871.0,28
170.3,155.5,0.0,185.7,0.0,1026.6,724.3,7
222.36,0.0,96.67,189.29,4.46,967.08,870.32,100
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,91
331.0,0.0,0.0,192.0,0.0,978.0,825.0,180
475.0,118.8,0.0,181.1,8.9,852.1,781.5,28
387.0,20.0,94.0,157.0,13.93,938.0,845.0,7
288.0,192.0,0.0,192.0,0.0,932.0,717.8,7
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365
339.2,0.0,0.0,185.7,0.0,1069.2,754.3,28
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,56
400.0,0.0,0.0,187.0,0.0,1025.0,745.0,28
385.0,0.0,0.0,186.0,0.0,966.0,763.0,28
295.8,0.0,0.0,185.7,0.0,1091.4,769.3,7
298.0,137.0,107.0,201.0,6.0,878.0,655.0,28
318.8,212.5,0.0,155.7,14.3,852.1,880.4,91
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28
252.31,0.0,98.75,146.25,14.17,987.76,889.01,56
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,100
234.0,156.0,0.0,189.0,5.85,981.0,760.0,28
158.6,148.9,116.0,175.1,15.0,953.3,719.7,28
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,100
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,14
480.0,0.0,0.0,192.0,0.0,936.0,721.0,3
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,3
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,28
323.7,282.8,0.0,183.8,10.3,942.7,659.9,56
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,56
153.0,102.0,0.0,192.0,0.0,888.0,943.1,90
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90
264.5,111.0,86.5,195.5,5.9,832.6,790.4,28
250.2,166.8,0.0,203.5,0.0,977.6,694.1,3
350.0,0.0,0.0,203.0,0.0,974.0,775.0,90
393.0,0.0,0.0,192.0,0.0,940.6,785.6,3
250.0,0.0,95.69,191.84,5.33,948.9,857.2,3
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,100
233.81,0.0,94.58,197.89,4.567,947.04,852.16,56
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,56
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,14
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28
157.0,236.0,0.0,192.0,0.0,935.4,781.2,90
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28
401.8,94.7,0.0,147.4,11.4,946.8,852.1,28
331.0,0.0,0.0,192.0,0.0,978.0,825.0,90
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,91
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,14
298.1,0.0,107.0,186.4,6.1,879.0,815.2,28
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,28
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,90
446.0,24.0,79.0,162.0,11.61,967.0,712.0,28
289.0,134.0,0.0,195.0,6.0,924.0,760.0,28
184.0,86.0,190.0,213.0,6.0,923.0,623.0,28
236.0,0.0,0.0,193.0,0.0,968.0,885.0,180
181.9,272.8,0.0,185.7,0.0,1012.4,714.3,28
251.37,0.0,118.27,192.94,5.75,1043.6,754.3,100
153.0,102.0,0.0,192.0,0.0,888.0,943.1,3
194.68,0.0,100.52,170.17,7.48,998.0,901.8,14
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,3
425.0,106.3,0.0,151.4,18.6,936.0,803.7,7
312.9,160.5,0.0,177.6,9.6,916.6,759.5,28
266.0,114.0,0.0,228.0,0.0,932.0,670.0,180
331.0,170.0,0.0,195.0,8.0,811.0,802.0,28
359.0,19.0,141.0,154.0,10.91,942.0,801.0,56
375.0,0.0,0.0,186.0,0.0,1038.0,758.0,7
164.0,0.0,200.0,181.0,13.0,849.0,846.0,28
143.0,169.0,143.0,191.0,8.0,967.0,643.0,28
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,3
249.1,0.0,98.75,158.11,12.8,987.76,889.01,14
252.31,0.0,98.75,146.25,14.17,987.76,889.01,100
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,14
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,3
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,28
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,3
318.0,0.0,126.0,210.0,6.0,861.0,737.0,28
318.8,212.5,0.0,155.7,14.3,852.1,880.4,56
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,56
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365
200.0,133.0,0.0,192.0,0.0,965.4,806.2,28
531.3,0.0,0.0,141.8,28.2,852.1,893.7,7
516.0,0.0,0.0,162.0,8.2,801.0,802.0,28
305.3,203.5,0.0,203.5,0.0,965.4,631.0,3
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,28
149.0,139.0,109.0,193.0,6.0,892.0,780.0,28
150.0,237.0,0.0,174.0,12.0,1069.0,675.0,28
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,100
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,56
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7
287.0,121.0,94.0,188.0,9.0,904.0,696.0,28
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,14
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28
183.9,122.6,0.0,203.5,0.0,959.2,800.0,3
166.0,260.0,0.0,183.0,13.0,859.0,827.0,28
116.0,173.0,0.0,192.0,0.0,909.8,891.9,90
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270
339.0,0.0,0.0,185.0,0.0,1060.0,754.0,28
261.9,110.5,86.1,195.4,5.0,895.2,732.6,28
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,3
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,14
491.0,26.0,123.0,210.0,3.93,882.0,699.0,28
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,28
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,56
148.1,0.0,136.6,158.1,16.1,1001.8,830.1,28
275.0,0.0,0.0,183.0,0.0,1088.0,808.0,7
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,28
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,3
389.9,189.0,0.0,145.9,22.0,944.7,755.8,56
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,3
337.9,189.0,0.0,174.9,9.5,944.7,755.8,3
500.0,0.0,0.0,140.0,4.0,966.0,853.0,28
375.0,0.0,0.0,186.0,0.0,1038.0,758.0,28
520.0,0.0,0.0,175.0,5.2,870.0,805.0,28
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3
238.05,0.0,94.11,186.66,7.0,949.91,847.01,3
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,56
469.0,117.2,0.0,137.8,32.2,852.1,840.5,3
222.36,0.0,96.67,189.29,4.46,967.08,870.32,56
401.8,94.7,0.0,147.4,11.4,946.8,852.1,56
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90
162.0,214.0,164.0,202.0,10.0,820.0,680.0,28
297.8,137.2,106.9,201.3,6.0,878.4,655.3,28
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,7
132.0,206.5,160.9,178.9,5.5,866.9,735.6,28
277.0,0.0,0.0,191.0,0.0,968.0,856.0,90
310.0,0.0,0.0,192.0,0.0,970.0,850.0,90
135.7,203.5,0.0,185.7,0.0,1076.2,759.3,7
316.1,210.7,0.0,185.7,0.0,977.0,689.3,7
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,100
295.0,0.0,0.0,185.0,0.0,1069.0,769.0,7
200.0,133.0,0.0,192.0,0.0,965.4,806.2,3
154.0,174.0,185.0,228.0,7.0,845.0,612.0,28
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,28
321.3,164.2,0.0,190.5,4.6,870.0,774.0,28
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,100
255.0,0.0,0.0,192.0,0.0,889.8,945.0,90
280.0,129.0,100.0,172.0,9.0,825.0,805.0,28
288.0,192.0,0.0,192.0,0.0,932.0,717.8,28
236.0,0.0,0.0,193.0,0.0,968.0,885.0,365
446.0,24.0,79.0,162.0,11.64,967.0,712.0,3
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,28
389.9,189.0,0.0,145.9,22.0,944.7,755.8,7
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,28
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,3
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,100
332.5,142.5,0.0,228.0,0.0,932.0,594.0,7
236.0,157.0,0.0,192.0,0.0,972.6,749.1,3
155.6,243.5,0.0,180.3,10.7,1022.0,697.7,28
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,28
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,90
144.0,15.0,195.0,176.0,6.0,1021.0,709.0,28
251.37,0.0,118.27,192.94,5.75,1043.6,754.3,3
331.0,0.0,0.0,192.0,0.0,978.0,825.0,3
469.0,117.2,0.0,137.8,32.2,852.1,840.5,7
446.0,24.0,79.0,162.0,11.64,967.0,712.0,28
183.9,122.6,0.0,203.5,0.0,959.2,800.0,28
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,28
322.0,0.0,116.0,196.0,10.0,818.0,813.0,28
295.8,0.0,0.0,185.7,0.0,1091.4,769.3,28
475.0,118.8,0.0,181.1,8.9,852.1,781.5,91
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,7
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3
480.0,0.0,0.0,192.0,0.0,936.2,712.2,3
162.0,190.1,148.1,178.8,18.8,838.1,741.4,28
528.0,0.0,0.0,185.0,6.86,920.0,720.0,28
310.0,0.0,0.0,192.0,0.0,970.0,850.0,180
475.0,0.0,0.0,162.0,9.5,1044.0,662.0,28
155.0,0.0,143.0,193.0,9.0,877.0,868.0,28
277.0,117.0,91.0,191.0,7.0,946.0,666.0,28
116.0,173.0,0.0,192.0,0.0,909.8,891.9,28
310.0,0.0,0.0,192.0,0.0,970.0,850.0,360
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,56
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,28
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3
446.0,24.0,79.0,162.0,11.61,967.0,712.0,56
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,100
290.2,193.5,0.0,185.7,0.0,998.2,704.3,7
339.0,0.0,0.0,197.0,0.0,968.0,781.0,3
385.0,0.0,0.0,186.0,0.0,966.0,763.0,7
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,100
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,28
102.0,153.0,0.0,192.0,0.0,887.0,942.0,90
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,14
159.0,209.0,161.0,201.0,7.0,848.0,669.0,28
405.0,0.0,0.0,175.0,0.0,1120.0,695.0,28
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,14
295.71,0.0,95.64,171.54,8.87,955.14,859.2,56
108.3,162.4,0.0,203.5,0.0,938.2,849.0,28
312.7,144.7,0.0,127.3,8.0,999.7,822.2,28
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,14
154.0,144.0,112.0,220.0,10.0,923.0,658.0,28
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,3
322.2,0.0,115.6,196.0,10.4,817.9,813.4,28
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,100
387.0,20.0,94.0,157.0,13.93,938.0,845.0,3
255.0,0.0,0.0,192.0,0.0,889.8,945.0,28
233.81,0.0,94.58,197.89,4.567,947.04,852.16,3
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,14
393.0,0.0,0.0,192.0,0.0,940.6,785.6,7
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,14
159.0,187.0,0.0,176.0,11.0,990.0,789.0,28
350.0,0.0,0.0,203.0,0.0,974.0,775.0,28
250.2,166.8,0.0,203.5,0.0,977.6,694.1,90
330.5,169.6,0.0,194.9,8.1,811.0,802.3,28
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,100
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270
281.0,0.0,0.0,185.0,0.0,1104.0,774.0,28
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,28
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28
173.0,116.0,0.0,192.0,0.0,946.8,856.8,90
313.3,145.0,0.0,178.5,8.0,867.2,824.0,28
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,28
133.0,200.0,0.0,192.0,0.0,927.4,839.2,7
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,100
298.0,0.0,107.0,186.0,6.0,879.0,815.0,28
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365
122.6,183.9,0.0,203.5,0.0,958.2,800.1,28
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,270
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,28
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,14
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28
156.0,243.0,0.0,180.0,11.0,1022.0,698.0,28
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28
284.0,119.7,0.0,168.3,7.2,970.4,794.2,28
475.0,0.0,59.0,142.0,1.9,1098.0,641.0,28
303.6,139.9,0.0,213.5,6.2,895.5,722.5,28
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,3
141.3,212.0,0.0,203.5,0.0,971.8,748.5,90
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,14
238.05,0.0,94.11,186.66,7.0,949.91,847.01,28
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28
307.0,0.0,0.0,193.0,0.0,968.0,812.0,365
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,7
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,3
304.0,76.0,0.0,228.0,0.0,932.0,670.0,180
321.0,0.0,128.0,182.0,11.0,870.0,780.0,28
254.0,0.0,0.0,198.0,0.0,968.0,863.0,365
152.7,144.7,0.0,178.1,8.0,999.7,822.2,28
164.6,0.0,150.4,181.6,11.7,1023.3,728.9,28
313.3,0.0,113.0,178.5,8.0,1001.9,688.7,28
145.0,116.0,119.0,184.0,5.7,833.0,880.0,28
284.0,15.0,141.0,179.0,5.46,842.0,801.0,7
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,120
162.0,207.0,172.0,216.0,10.0,822.0,638.0,28
305.3,203.5,0.0,203.5,0.0,965.4,631.0,28
334.0,17.6,158.0,189.0,15.3,967.0,633.0,28
446.0,24.0,79.0,162.0,11.64,967.0,712.0,7
133.1,210.2,0.0,195.7,3.1,949.4,795.3,28
122.6,183.9,0.0,203.5,0.0,958.2,800.1,7
382.0,0.0,0.0,186.0,0.0,1111.0,784.0,7
298.1,0.0,107.5,163.6,12.8,953.2,784.0,28
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,28
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28
151.6,0.0,111.9,184.4,7.9,992.0,815.9,28
148.0,0.0,137.0,158.0,16.0,1002.0,830.0,28
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,14
139.9,132.6,103.3,200.3,7.4,916.0,753.4,28
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28
469.0,117.2,0.0,137.8,32.2,852.1,840.5,28
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7
144.0,136.0,106.0,178.0,7.0,941.0,774.0,28
146.0,173.0,0.0,182.0,3.0,986.0,817.0,28
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180
157.0,236.0,0.0,192.0,0.0,935.4,781.2,28
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,3
323.7,282.8,0.0,183.8,10.3,942.7,659.9,28
277.0,0.0,0.0,191.0,0.0,968.0,856.0,3
150.7,0.0,185.3,166.7,15.6,1074.5,678.0,28
159.1,186.7,0.0,175.6,11.3,989.6,788.9,28
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,120
313.0,145.0,0.0,178.0,8.0,867.0,824.0,28
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,56
210.7,316.1,0.0,185.7,0.0,977.0,689.3,28
374.0,189.2,0.0,170.1,10.1,926.1,756.7,28
255.0,0.0,0.0,192.0,0.0,889.8,945.0,7
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7
143.0,169.4,142.7,190.7,8.4,967.4,643.5,28
116.0,173.0,0.0,192.0,0.0,909.8,891.9,3
152.0,0.0,112.0,184.0,8.0,992.0,816.0,28
156.0,178.0,187.0,221.0,7.0,854.0,614.0,28
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,14
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,56
310.0,143.0,0.0,168.0,10.0,914.0,804.0,28
359.0,19.0,141.0,154.0,10.91,942.0,801.0,3
387.0,20.0,94.0,157.0,14.32,938.0,845.0,7
151.8,178.1,138.7,167.5,18.3,944.0,694.6,28
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,3
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,56
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,1
295.71,0.0,95.64,171.54,8.87,955.14,859.2,100
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,56
250.0,0.0,95.69,187.42,5.53,956.86,861.17,56
374.3,0.0,0.0,190.2,6.7,1013.2,730.4,28
250.0,0.0,95.69,191.84,5.33,948.9,857.2,100
342.0,38.0,0.0,228.0,0.0,932.0,670.0,270
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,28
133.0,200.0,0.0,192.0,0.0,927.4,839.2,28
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,56
160.0,188.0,146.0,203.0,11.0,829.0,710.0,28
153.0,239.0,0.0,200.0,6.0,1002.0,684.0,28
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,7
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28
147.0,115.0,89.0,202.0,9.0,860.0,829.0,28
491.0,26.0,123.0,210.0,3.93,882.0,699.0,56
393.0,0.0,0.0,192.0,0.0,940.0,758.0,3
299.8,0.0,119.8,211.5,9.9,878.2,727.6,28
148.5,139.4,108.6,192.7,6.1,892.4,780.0,28
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90
192.0,288.0,0.0,192.0,0.0,929.8,716.1,7
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,28
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,28
236.0,0.0,0.0,194.0,0.0,968.0,885.0,14
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,28
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,56
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,28
393.0,0.0,0.0,192.0,0.0,940.6,785.6,28
314.0,0.0,113.0,170.0,10.0,925.0,783.0,28
236.9,91.7,71.5,246.9,6.0,852.9,695.4,28
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,3
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,3
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,3
157.0,236.0,0.0,192.0,0.0,935.4,781.2,3
331.0,0.0,0.0,192.0,0.0,978.0,825.0,7
277.0,116.8,91.0,190.6,7.0,946.5,665.6,28
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,7
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,3
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,28
254.0,0.0,0.0,198.0,0.0,968.0,863.0,3
